food,text
enchirito with cheese beef beans,"Enchirito with cheese beef beans provides 344 kcal per 100 grams. It contains 16.1 g of total fat (7.9 g saturated, 6.5 g monounsaturated, and 0.3 g polyunsaturated), 33.8 g of carbohydrates with 0.0 g of sugars, 17.9 g of protein, and 0.0 g of dietary fiber. It has 50.2 mg of cholesterol, 1.3 g of sodium, and 121.0 g of water. Vitamin content per 100g: A = 0.074 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.7 mg, B3 (Niacin) = 3.0 mg, B5 (Pantothenic Acid) = 1.8 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.028 mg, B12 = 0.051 mg, Vitamin C = 4.6 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 218.1 mg, Copper = 0.3 mg, Iron = 2.4 mg, Magnesium = 71.4 mg, Manganese = 0.4 mg, Phosphorus = 223.9 mg, Potassium = 559.7 mg, Selenium = 0.016 mg, and Zinc = 2.8 mg. The overall nutrition density score is 292.984. "
sweet sour pork,"Sweet sour pork provides 38 kcal per 100 grams. It contains 2.2 g of total fat (0.4 g saturated, 0.5 g monounsaturated, and 1.0 g polyunsaturated), 3.3 g of carbohydrates with 1.4 g of sugars, 1.2 g of protein, and 0.1 g of dietary fiber. It has 3.4 mg of cholesterol, 0.003 g of sodium, and 7.1 g of water. Vitamin content per 100g: A = 0.003 mg, B1 (Thiamine) = 0.073 mg, B2 (Riboflavin) = 0.053 mg, B3 (Niacin) = 0.3 mg, B5 (Pantothenic Acid) = 0.086 mg, B6 = 0.003 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.002 mg, Vitamin C = 0.3 mg, Vitamin D = 0.0 mg, Vitamin E = 0.1 mg, Vitamin K = 0.058 mg. Mineral content per 100g: Calcium = 6.4 mg, Copper = 0.024 mg, Iron = 0.4 mg, Magnesium = 1.8 mg, Manganese = 0.054 mg, Phosphorus = 18.6 mg, Potassium = 21.3 mg, Selenium = 0.053 mg, and Zinc = 0.1 mg. The overall nutrition density score is 13.977. "
crab cake,"Crab cake provides 160 kcal per 100 grams. It contains 10.4 g of total fat (2.2 g saturated, 4.3 g monounsaturated, and 3.1 g polyunsaturated), 5.1 g of carbohydrates with 0.0 g of sugars, 11.3 g of protein, and 0.2 g of dietary fiber. It has 82.2 mg of cholesterol, 0.5 g of sodium, and 32.0 g of water. Vitamin content per 100g: A = 0.062 mg, B1 (Thiamine) = 0.039 mg, B2 (Riboflavin) = 0.016 mg, B3 (Niacin) = 1.2 mg, B5 (Pantothenic Acid) = 0.3 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.07 mg, B12 = 0.019 mg, Vitamin C = 0.2 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 202.2 mg, Copper = 0.4 mg, Iron = 1.1 mg, Magnesium = 25.2 mg, Manganese = 0.3 mg, Phosphorus = 226.8 mg, Potassium = 162.0 mg, Selenium = 0.029 mg, and Zinc = 2.1 mg. The overall nutrition density score is 230.596. "
egg dinner roll,"Egg dinner roll provides 107 kcal per 100 grams. It contains 2.2 g of total fat (0.6 g saturated, 1.0 g monounsaturated, and 0.4 g polyunsaturated), 18.2 g of carbohydrates with 1.5 g of sugars, 3.3 g of protein, and 1.3 g of dietary fiber. It has 17.5 mg of cholesterol, 0.2 g of sodium, and 10.6 g of water. Vitamin content per 100g: A = 0.051 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.2 mg, B3 (Niacin) = 1.2 mg, B5 (Pantothenic Acid) = 0.2 mg, B6 = 0.065 mg, B11 (Folic Acid) = 0.096 mg, B12 = 0.06 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.1 mg, Vitamin K = 0.082 mg. Mineral content per 100g: Calcium = 20.7 mg, Copper = 0.04 mg, Iron = 1.2 mg, Magnesium = 8.8 mg, Manganese = 0.2 mg, Phosphorus = 35.4 mg, Potassium = 36.4 mg, Selenium = 0.066 mg, and Zinc = 0.4 mg. The overall nutrition density score is 46.913. "
english muffin with egg cheese sausage,"English muffin with egg cheese sausage provides 472 kcal per 100 grams. It contains 29.9 g of total fat (11.4 g saturated, 11.2 g monounsaturated, and 4.6 g polyunsaturated), 28.8 g of carbohydrates with 2.5 g of sugars, 22.1 g of protein, and 0.3 g of dietary fiber. It has 269.0 mg of cholesterol, 0.8 g of sodium, and 80.6 g of water. Vitamin content per 100g: A = 0.1 mg, B1 (Thiamine) = 0.6 mg, B2 (Riboflavin) = 0.4 mg, B3 (Niacin) = 5.3 mg, B5 (Pantothenic Acid) = 1.8 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.001 mg, B12 = 0.093 mg, Vitamin C = 0.0 mg, Vitamin D = 0.063 mg, Vitamin E = 1.6 mg, Vitamin K = 0.051 mg. Mineral content per 100g: Calcium = 277.2 mg, Copper = 0.3 mg, Iron = 4.3 mg, Magnesium = 28.1 mg, Manganese = 0.3 mg, Phosphorus = 297.0 mg, Potassium = 242.6 mg, Selenium = 0.064 mg, and Zinc = 1.7 mg. The overall nutrition density score is 362.7. "
buttermilk pancakes,"Buttermilk pancakes provides 86 kcal per 100 grams. It contains 3.5 g of total fat (0.7 g saturated, 0.9 g monounsaturated, and 1.7 g polyunsaturated), 10.9 g of carbohydrates with 0.0 g of sugars, 2.6 g of protein, and 0.0 g of dietary fiber. It has 22.0 mg of cholesterol, 0.2 g of sodium, and 20.0 g of water. Vitamin content per 100g: A = 0.094 mg, B1 (Thiamine) = 0.017 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.6 mg, B5 (Pantothenic Acid) = 0.2 mg, B6 = 0.025 mg, B11 (Folic Acid) = 0.009 mg, B12 = 0.089 mg, Vitamin C = 0.2 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 59.7 mg, Copper = 0.067 mg, Iron = 0.6 mg, Magnesium = 5.7 mg, Manganese = 0.023 mg, Phosphorus = 52.8 mg, Potassium = 55.1 mg, Selenium = 0.073 mg, and Zinc = 0.2 mg. The overall nutrition density score is 77.568. "
omelet,"Omelet provides 94 kcal per 100 grams. It contains 7.1 g of total fat (2.0 g saturated, 3.0 g monounsaturated, and 1.7 g polyunsaturated), 0.4 g of carbohydrates with 0.2 g of sugars, 6.4 g of protein, and 0.0 g of dietary fiber. It has 190.9 mg of cholesterol, 0.013 g of sodium, and 46.4 g of water. Vitamin content per 100g: A = 0.4 mg, B1 (Thiamine) = 0.1 mg, B2 (Riboflavin) = 0.055 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 0.09 mg, B6 = 0.8 mg, B11 (Folic Acid) = 0.006 mg, B12 = 0.041 mg, Vitamin C = 0.003 mg, Vitamin D = 0.0 mg, Vitamin E = 0.098 mg, Vitamin K = 0.8 mg. Mineral content per 100g: Calcium = 0.05 mg, Copper = 29.3 mg, Iron = 0.07 mg, Magnesium = 0.9 mg, Manganese = 6.7 mg, Phosphorus = 0.031 mg, Potassium = 101.9 mg, Selenium = 71.4 mg, and Zinc = 0.03 mg. The overall nutrition density score is 14.377. "
taco with chicken cheese lettuce,"Taco with chicken cheese lettuce provides 185 kcal per 100 grams. It contains 6.2 g of total fat (2.5 g saturated, 1.6 g monounsaturated, and 1.6 g polyunsaturated), 19.3 g of carbohydrates with 1.3 g of sugars, 13.0 g of protein, and 1.2 g of dietary fiber. It has 28.4 mg of cholesterol, 0.6 g of sodium, and 57.3 g of water. Vitamin content per 100g: A = 0.014 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 5.1 mg, B5 (Pantothenic Acid) = 0.0 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.029 mg, B12 = 0.094 mg, Vitamin C = 0.2 mg, Vitamin D = 0.017 mg, Vitamin E = 0.2 mg, Vitamin K = 0.075 mg. Mineral content per 100g: Calcium = 119.6 mg, Copper = 0.012 mg, Iron = 1.6 mg, Magnesium = 23.5 mg, Manganese = 0.2 mg, Phosphorus = 239.1 mg, Potassium = 212.7 mg, Selenium = 0.093 mg, and Zinc = 0.7 mg. The overall nutrition density score is 161.153. "
spinach souffle,"Spinach souffle provides 230 kcal per 100 grams. It contains 17.6 g of total fat (10.1 g saturated, 5.0 g monounsaturated, and 1.0 g polyunsaturated), 8.0 g of carbohydrates with 2.5 g of sugars, 10.7 g of protein, and 1.0 g of dietary fiber. It has 160.5 mg of cholesterol, 0.8 g of sodium, and 96.2 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.1 mg, B2 (Riboflavin) = 0.4 mg, B3 (Niacin) = 0.7 mg, B5 (Pantothenic Acid) = 0.6 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.025 mg, B12 = 0.061 mg, Vitamin C = 9.9 mg, Vitamin D = 0.063 mg, Vitamin E = 1.3 mg, Vitamin K = 0.2 mg. Mineral content per 100g: Calcium = 224.4 mg, Copper = 0.093 mg, Iron = 1.6 mg, Magnesium = 40.8 mg, Manganese = 0.4 mg, Phosphorus = 189.0 mg, Potassium = 314.2 mg, Selenium = 0.01 mg, and Zinc = 1.2 mg. The overall nutrition density score is 273.4. "
english muffin with cheese sausage,"English muffin with cheese sausage provides 365 kcal per 100 grams. It contains 22.3 g of total fat (8.8 g saturated, 8.5 g monounsaturated, and 3.4 g polyunsaturated), 27.3 g of carbohydrates with 2.1 g of sugars, 14.3 g of protein, and 0.5 g of dietary fiber. It has 46.4 mg of cholesterol, 0.7 g of sodium, and 41.0 g of water. Vitamin content per 100g: A = 0.074 mg, B1 (Thiamine) = 0.5 mg, B2 (Riboflavin) = 0.2 mg, B3 (Niacin) = 4.6 mg, B5 (Pantothenic Acid) = 0.8 mg, B6 = 0.096 mg, B11 (Folic Acid) = 0.046 mg, B12 = 0.042 mg, Vitamin C = 0.0 mg, Vitamin D = 0.085 mg, Vitamin E = 0.6 mg, Vitamin K = 0.01 mg. Mineral content per 100g: Calcium = 226.8 mg, Copper = 0.3 mg, Iron = 3.4 mg, Magnesium = 22.7 mg, Manganese = 0.3 mg, Phosphorus = 181.4 mg, Potassium = 193.3 mg, Selenium = 0.036 mg, and Zinc = 1.3 mg. The overall nutrition density score is 294.696. "
potato gratin,"Potato gratin provides 328 kcal per 100 grams. It contains 18.6 g of total fat (11.6 g saturated, 5.3 g monounsaturated, and 0.7 g polyunsaturated), 27.6 g of carbohydrates with 0.0 g of sugars, 12.4 g of protein, and 4.4 g of dietary fiber. It has 56.4 mg of cholesterol, 1.1 g of sodium, and 181.3 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 2.4 mg, B5 (Pantothenic Acid) = 0.9 mg, B6 = 0.4 mg, B11 (Folic Acid) = 0.053 mg, B12 = 0.0 mg, Vitamin C = 24.3 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 291.6 mg, Copper = 0.4 mg, Iron = 1.6 mg, Magnesium = 49.0 mg, Manganese = 0.4 mg, Phosphorus = 276.9 mg, Potassium = 970.2 mg, Selenium = 0.036 mg, and Zinc = 1.7 mg. The overall nutrition density score is 380.7. "
biscuit with egg,"Biscuit with egg provides 436 kcal per 100 grams. It contains 25.3 g of total fat (8.5 g saturated, 11.7 g monounsaturated, and 2.8 g polyunsaturated), 35.4 g of carbohydrates with 2.5 g of sugars, 17.4 g of protein, and 0.3 g of dietary fiber. It has 240.7 mg of cholesterol, 1.2 g of sodium, and 62.3 g of water. Vitamin content per 100g: A = 0.1 mg, B1 (Thiamine) = 0.4 mg, B2 (Riboflavin) = 0.4 mg, B3 (Niacin) = 3.4 mg, B5 (Pantothenic Acid) = 0.9 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.1 mg, B12 = 0.002 mg, Vitamin C = 0.1 mg, Vitamin D = 0.027 mg, Vitamin E = 1.5 mg, Vitamin K = 0.037 mg. Mineral content per 100g: Calcium = 149.4 mg, Copper = 0.077 mg, Iron = 2.3 mg, Magnesium = 21.8 mg, Manganese = 0.3 mg, Phosphorus = 526.4 mg, Potassium = 190.0 mg, Selenium = 0.007 mg, and Zinc = 1.6 mg. The overall nutrition density score is 230.3. "
french fries deep fried,"French fries deep fried provides 222 kcal per 100 grams. It contains 10.5 g of total fat (1.7 g saturated, 4.2 g monounsaturated, and 3.8 g polyunsaturated), 29.4 g of carbohydrates with 0.2 g of sugars, 2.4 g of protein, and 2.7 g of dietary fiber. It has 0.0 mg of cholesterol, 0.1 g of sodium, and 27.4 g of water. Vitamin content per 100g: A = 0.063 mg, B1 (Thiamine) = 0.0 mg, B2 (Riboflavin) = 0.0 mg, B3 (Niacin) = 0.008 mg, B5 (Pantothenic Acid) = 2.1 mg, B6 = 0.4 mg, B11 (Folic Acid) = 0.1 mg, B12 = 0.002 mg, Vitamin C = 0.3 mg, Vitamin D = 3.3 mg, Vitamin E = 0.0 mg, Vitamin K = 1.2 mg. Mineral content per 100g: Calcium = 0.075 mg, Copper = 12.8 mg, Iron = 0.038 mg, Magnesium = 0.6 mg, Manganese = 24.9 mg, Phosphorus = 0.2 mg, Potassium = 88.8 mg, Selenium = 411.1 mg, and Zinc = 0.019 mg. The overall nutrition density score is 45.364. "
sweet sour chicken,"Sweet sour chicken provides 46 kcal per 100 grams. It contains 2.3 g of total fat (0.4 g saturated, 0.5 g monounsaturated, and 1.2 g polyunsaturated), 4.4 g of carbohydrates with 2.1 g of sugars, 1.8 g of protein, and 0.2 g of dietary fiber. It has 4.9 mg of cholesterol, 0.043 g of sodium, and 9.5 g of water. Vitamin content per 100g: A = 0.031 mg, B1 (Thiamine) = 0.002 mg, B2 (Riboflavin) = 0.015 mg, B3 (Niacin) = 0.7 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.024 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.057 mg, Vitamin C = 0.4 mg, Vitamin D = 0.0 mg, Vitamin E = 0.2 mg, Vitamin K = 0.098 mg. Mineral content per 100g: Calcium = 8.2 mg, Copper = 0.098 mg, Iron = 0.4 mg, Magnesium = 2.7 mg, Manganese = 0.1 mg, Phosphorus = 24.7 mg, Potassium = 28.9 mg, Selenium = 0.04 mg, and Zinc = 0.057 mg. The overall nutrition density score is 17.773. "
burrito with beans beef,"Burrito with beans beef provides 460 kcal per 100 grams. It contains 18.0 g of total fat (7.0 g saturated, 7.8 g monounsaturated, and 1.4 g polyunsaturated), 47.0 g of carbohydrates with 5.3 g of sugars, 27.8 g of protein, and 7.2 g of dietary fiber. It has 62.7 mg of cholesterol, 1.4 g of sodium, and 144.6 g of water. Vitamin content per 100g: A = 0.096 mg, B1 (Thiamine) = 0.4 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 5.3 mg, B5 (Pantothenic Acid) = 0.8 mg, B6 = 0.5 mg, B11 (Folic Acid) = 0.2 mg, B12 = 0.088 mg, Vitamin C = 4.6 mg, Vitamin D = 0.059 mg, Vitamin E = 1.1 mg, Vitamin K = 0.022 mg. Mineral content per 100g: Calcium = 216.9 mg, Copper = 0.3 mg, Iron = 4.6 mg, Magnesium = 60.3 mg, Manganese = 0.6 mg, Phosphorus = 392.8 mg, Potassium = 648.3 mg, Selenium = 0.031 mg, and Zinc = 4.8 mg. The overall nutrition density score is 326.183. "
nachos with cinnamon sugar,"Nachos with cinnamon sugar provides 592 kcal per 100 grams. It contains 36.0 g of total fat (18.2 g saturated, 11.8 g monounsaturated, and 4.1 g polyunsaturated), 63.4 g of carbohydrates with 0.0 g of sugars, 7.2 g of protein, and 0.0 g of dietary fiber. It has 39.2 mg of cholesterol, 0.4 g of sodium, and 1.1 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.4 mg, B3 (Niacin) = 3.9 mg, B5 (Pantothenic Acid) = 1.9 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.059 mg, B12 = 0.056 mg, Vitamin C = 8.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 85.0 mg, Copper = 0.2 mg, Iron = 2.9 mg, Magnesium = 19.6 mg, Manganese = 0.5 mg, Phosphorus = 32.7 mg, Potassium = 78.5 mg, Selenium = 0.044 mg, and Zinc = 0.6 mg. The overall nutrition density score is 202.5. "
arroz con grandules,"Arroz con grandules provides 209 kcal per 100 grams. It contains 5.7 g of total fat (0.9 g saturated, 1.2 g monounsaturated, and 2.7 g polyunsaturated), 35.4 g of carbohydrates with 0.0 g of sugars, 4.0 g of protein, and 1.6 g of dietary fiber. It has 0.0 mg of cholesterol, 0.7 g of sodium, and 67.7 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.01 mg, B2 (Riboflavin) = 0.076 mg, B3 (Niacin) = 0.6 mg, B5 (Pantothenic Acid) = 0.3 mg, B6 = 0.026 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.0 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.8 mg, Vitamin K = 0.066 mg. Mineral content per 100g: Calcium = 9.2 mg, Copper = 0.1 mg, Iron = 0.3 mg, Magnesium = 16.1 mg, Manganese = 0.7 mg, Phosphorus = 62.1 mg, Potassium = 96.6 mg, Selenium = 0.0 mg, and Zinc = 0.9 mg. The overall nutrition density score is 56.2. "
chili con carne,"Chili con carne provides 271 kcal per 100 grams. It contains 8.8 g of total fat (3.2 g saturated, 3.6 g monounsaturated, and 1.0 g polyunsaturated), 33.1 g of carbohydrates with 4.7 g of sugars, 14.7 g of protein, and 8.3 g of dietary fiber. It has 22.8 mg of cholesterol, 1.1 g of sodium, and 191.5 g of water. Vitamin content per 100g: A = 0.4 mg, B1 (Thiamine) = 0.095 mg, B2 (Riboflavin) = 0.091 mg, B3 (Niacin) = 0.029 mg, B5 (Pantothenic Acid) = 2.0 mg, B6 = 3.6 mg, B11 (Folic Acid) = 0.049 mg, B12 = 0.005 mg, Vitamin C = 0.3 mg, Vitamin D = 0.5 mg, Vitamin E = 0.0 mg, Vitamin K = 1.3 mg. Mineral content per 100g: Calcium = 0.063 mg, Copper = 83.5 mg, Iron = 0.6 mg, Magnesium = 3.4 mg, Manganese = 70.8 mg, Phosphorus = 0.4 mg, Potassium = 220.1 mg, Selenium = 667.9 mg, and Zinc = 0.039 mg. The overall nutrition density score is 66.245. "
arroz con abichuelas,"Arroz con abichuelas provides 223 kcal per 100 grams. It contains 5.4 g of total fat (0.8 g saturated, 1.1 g monounsaturated, and 2.5 g polyunsaturated), 37.3 g of carbohydrates with 0.2 g of sugars, 6.2 g of protein, and 4.1 g of dietary fiber. It has 0.0 mg of cholesterol, 0.6 g of sodium, and 105.6 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.045 mg, B2 (Riboflavin) = 0.072 mg, B3 (Niacin) = 1.3 mg, B5 (Pantothenic Acid) = 0.3 mg, B6 = 0.069 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.0 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.4 mg, Vitamin K = 0.046 mg. Mineral content per 100g: Calcium = 23.6 mg, Copper = 0.2 mg, Iron = 1.9 mg, Magnesium = 33.0 mg, Manganese = 0.7 mg, Phosphorus = 117.8 mg, Potassium = 304.6 mg, Selenium = 0.071 mg, and Zinc = 1.1 mg. The overall nutrition density score is 78.5. "
biscuit with sausage,"Biscuit with sausage provides 412 kcal per 100 grams. It contains 27.1 g of total fat (8.2 g saturated, 13.5 g monounsaturated, and 3.4 g polyunsaturated), 33.3 g of carbohydrates with 1.8 g of sugars, 10.7 g of protein, and 0.4 g of dietary fiber. It has 31.1 mg of cholesterol, 0.9 g of sodium, and 36.4 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.4 mg, B2 (Riboflavin) = 0.2 mg, B3 (Niacin) = 3.8 mg, B5 (Pantothenic Acid) = 0.5 mg, B6 = 0.031 mg, B11 (Folic Acid) = 0.078 mg, B12 = 0.012 mg, Vitamin C = 0.0 mg, Vitamin D = 0.044 mg, Vitamin E = 0.9 mg, Vitamin K = 0.035 mg. Mineral content per 100g: Calcium = 52.2 mg, Copper = 0.3 mg, Iron = 2.1 mg, Magnesium = 14.4 mg, Manganese = 0.2 mg, Phosphorus = 378.5 mg, Potassium = 169.8 mg, Selenium = 0.012 mg, and Zinc = 0.8 mg. The overall nutrition density score is 125.8. "
vegetarian stew,"Vegetarian stew provides 304 kcal per 100 grams. It contains 7.4 g of total fat (1.2 g saturated, 1.8 g monounsaturated, and 3.8 g polyunsaturated), 17.3 g of carbohydrates with 3.1 g of sugars, 42.0 g of protein, and 2.7 g of dietary fiber. It has 0.0 mg of cholesterol, 1.0 g of sodium, and 172.9 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 1.7 mg, B2 (Riboflavin) = 1.5 mg, B3 (Niacin) = 29.6 mg, B5 (Pantothenic Acid) = 0.0 mg, B6 = 2.7 mg, B11 (Folic Acid) = 0.3 mg, B12 = 0.093 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 1.2 mg, Vitamin K = 0.041 mg. Mineral content per 100g: Calcium = 76.6 mg, Copper = 1.6 mg, Iron = 3.2 mg, Magnesium = 313.7 mg, Manganese = 0.0 mg, Phosphorus = 543.4 mg, Potassium = 296.4 mg, Selenium = 0.05 mg, and Zinc = 2.7 mg. The overall nutrition density score is 149.2. "
chicken sandwich with cheese,"Chicken sandwich with cheese provides 632 kcal per 100 grams. It contains 38.8 g of total fat (12.4 g saturated, 13.7 g monounsaturated, and 9.9 g polyunsaturated), 41.6 g of carbohydrates with 0.0 g of sugars, 29.4 g of protein, and 0.0 g of dietary fiber. It has 77.5 mg of cholesterol, 1.2 g of sodium, and 104.9 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.4 mg, B2 (Riboflavin) = 0.5 mg, B3 (Niacin) = 9.1 mg, B5 (Pantothenic Acid) = 1.3 mg, B6 = 0.4 mg, B11 (Folic Acid) = 0.1 mg, B12 = 0.092 mg, Vitamin C = 3.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 257.6 mg, Copper = 0.2 mg, Iron = 3.6 mg, Magnesium = 43.3 mg, Manganese = 0.4 mg, Phosphorus = 405.8 mg, Potassium = 332.9 mg, Selenium = 0.073 mg, and Zinc = 2.9 mg. The overall nutrition density score is 374.2. "
biscuit with egg steak,"Biscuit with egg steak provides 410 kcal per 100 grams. It contains 28.4 g of total fat (8.6 g saturated, 11.7 g monounsaturated, and 5.8 g polyunsaturated), 21.3 g of carbohydrates with 0.0 g of sugars, 17.9 g of protein, and 0.0 g of dietary fiber. It has 272.3 mg of cholesterol, 0.9 g of sodium, and 77.7 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.4 mg, B2 (Riboflavin) = 0.5 mg, B3 (Niacin) = 3.1 mg, B5 (Pantothenic Acid) = 1.1 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.018 mg, B12 = 0.063 mg, Vitamin C = 0.1 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 137.6 mg, Copper = 0.1 mg, Iron = 5.3 mg, Magnesium = 25.2 mg, Manganese = 0.2 mg, Phosphorus = 225.0 mg, Potassium = 306.4 mg, Selenium = 0.039 mg, and Zinc = 2.8 mg. The overall nutrition density score is 210.8. "
taco salad,"Taco salad provides 212 kcal per 100 grams. It contains 11.2 g of total fat (5.2 g saturated, 3.9 g monounsaturated, and 1.3 g polyunsaturated), 17.9 g of carbohydrates with 0.0 g of sugars, 10.0 g of protein, and 0.0 g of dietary fiber. It has 33.0 mg of cholesterol, 0.6 g of sodium, and 108.5 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.091 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 1.9 mg, B5 (Pantothenic Acid) = 1.0 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.072 mg, B12 = 0.097 mg, Vitamin C = 2.7 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 145.5 mg, Copper = 0.2 mg, Iron = 1.7 mg, Magnesium = 39.0 mg, Manganese = 0.3 mg, Phosphorus = 108.0 mg, Potassium = 315.0 mg, Selenium = 0.001 mg, and Zinc = 2.0 mg. The overall nutrition density score is 189.0. "
succotash,"Succotash provides 213 kcal per 100 grams. It contains 1.5 g of total fat (0.3 g saturated, 0.3 g monounsaturated, and 0.7 g polyunsaturated), 46.8 g of carbohydrates with 0.0 g of sugars, 9.7 g of protein, and 0.0 g of dietary fiber. It has 0.0 mg of cholesterol, 0.5 g of sodium, and 131.3 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.3 mg, B2 (Riboflavin) = 0.2 mg, B3 (Niacin) = 2.5 mg, B5 (Pantothenic Acid) = 1.1 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.053 mg, B12 = 0.0 mg, Vitamin C = 15.7 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 32.6 mg, Copper = 0.3 mg, Iron = 2.9 mg, Magnesium = 101.8 mg, Manganese = 1.5 mg, Phosphorus = 224.6 mg, Potassium = 787.2 mg, Selenium = 0.038 mg, and Zinc = 1.2 mg. The overall nutrition density score is 109.2. "
nachos with cheese jalapeno peppers,"Nachos with cheese jalapeno peppers provides 608 kcal per 100 grams. It contains 34.1 g of total fat (14.0 g saturated, 14.4 g monounsaturated, and 4.0 g polyunsaturated), 60.1 g of carbohydrates with 0.0 g of sugars, 16.8 g of protein, and 0.0 g of dietary fiber. It has 83.6 mg of cholesterol, 1.7 g of sodium, and 87.1 g of water. Vitamin content per 100g: A = 0.4 mg, B1 (Thiamine) = 0.1 mg, B2 (Riboflavin) = 0.5 mg, B3 (Niacin) = 2.8 mg, B5 (Pantothenic Acid) = 2.4 mg, B6 = 0.4 mg, B11 (Folic Acid) = 0.044 mg, B12 = 0.05 mg, Vitamin C = 1.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 620.2 mg, Copper = 0.2 mg, Iron = 2.4 mg, Magnesium = 108.1 mg, Manganese = 0.4 mg, Phosphorus = 393.7 mg, Potassium = 293.8 mg, Selenium = 0.083 mg, and Zinc = 2.9 mg. The overall nutrition density score is 735.0. "
